"pris","vej","vejnr","postnr","by","kvmpris","størrelse","mdudg","grund","værelser","liggetid","opført"
"2.995.000 kr.","buchwaldsvej","13","5690","tommerup","11.033","127","1.431","394","3","1 dag","1924"
"3.395.000 kr.","anemonevej","13","7600","struer","6.625","111","1.576","652","3","1 dag","1962"
"1.695.000 kr.","bellisvej","9","8240","risskov","43.743","150","4.228","788","4","1 dag","1938"
"4.095.000 kr.","violvej","55","8700","horsens","15.452","151","2.489","885","5","1 dag","1976"
"2.595.000 kr.",NA,NA,NA,NA,"39.804","72","3.364","300","3","1 dag","1967"
"2.995.000 kr.","viemose-gade","103","4771","kalvehave","3.667","115","1.664","1.008","4","1 dag","1865"
"2.995.000 kr.","hykkelbjergvej","37","6940","lem","5.166","180","2.912","39.500","6","1 dag","1863"
"3.795.000 kr.","vestermarksvej","5","4622","havdrup","26.284","117","3.305","854","4","1 dag","1962"
"2.398.000 kr.","klitbakken","3","9800","hjoerring","10.883","142","2.012","802","6","1 dag","1972"
"1.448.000 kr.","hejreskovvej","24","4173","fjenneslev","9.192","157","2.460","790","5","1 dag","1978"
"3.795.000 kr.","tved-kirkebakke","24","8420","knebel","10.739","161","2.170","820","6","1 dag","1964"
"1.098.000 kr.","toften","1","7470","karup","4.854","135","1.449","1.239","4","1 dag","1976"
"8.475.000 kr.","bakkegaardsvej","3","4173","fjenneslev","8.964","111","1.974","883","4","1 dag","1966"
"1.495.000 kr.","kromai","19","6200","aabenraa","9.468","154","1.934","1.017","5","1 dag","1978"
"1.750.000 kr.","toftebjerg-hovedgade","22","8305","samsoe","14.857","55","1.696","1.300","3","1 dag","1877"
"6.995.000 kr.","vadbrovej","35","4913","horslunde","6.296","91","1.038","898","3","1 dag","1900"
"1.495.000 kr.","borgergade","34","7080","boerkop","7.367","164","2.062","492","6","1 dag","1907"
"595.000 kr.","strandgaards-alle","90","3600","frederikssund","25.653","112","3.852","712","4","1 dag","1979"
"3.295.000 kr.","kaervej","12","6520","toftlund","6.587","174","1.957","1.139","5","1 dag","1968"
"5.495.000 kr.","irisvej","39","4700","naestved","9.924","134","2.306","709","4","1 dag","1958"
"7.995.000 kr.","hjerting-strandvej","176","6710","esbjerg","13.801","183","3.601","1.149","5","1 dag","1980"
"1.345.000 kr.","faergevej","36","6430","nordborg","4.401","101","1.143","535","6","1 dag","1875"
"10.995.000 kr.","bredevej","26","2830","virum","46.567","200","6.548","911","6","1 dag","1973"
"3.295.000 kr.","pallasvej","97","6960","hvide","20.654","200","2.790","1.123","4","1 dag","2023"
"5.795.000 kr.","loenborg-friis-vej","6","9800","hjoerring","10.833","170","2.984","890","5","1 dag","1910"
"9.350.000 kr.","oernebakken","4","9560","hadsund","10.484","164","2.439","1.088","4","1 dag","1986"
"6.995.000 kr.","hadsund-landevej","475","9260","gistrup","12.734","212","1.598","93.706","9","1 dag","1959"
"2.995.000 kr.","knudsvej","2","4070","kirke","18.320","118","2.378","715","5","1 dag","1966"
"995.000 kr.","silkeborgvej","601","8220","brabrand","19.980","432","4.030","2.189","13","1 dag","1877"
"12.495.000 kr.","kristtornvej","39","3300","frederiksvaerk","20.809","196","3.434","1.043","7","1 dag","1984"
"4.995.000 kr.","bentsensvej","5","4330","hvalsoe","19.772","102","2.553","565","4","1 dag","1918"
"2.395.000 kr.","rolighedsvej","59","8240","risskov","39.007","177","5.890","1.150","7","1 dag","1912"
"1.195.000 kr.","bjellerup-alle","32","8930","randers","12.320","184","2.436","1.455","6","1 dag","1920"
"3.295.000 kr.","boegebjergvej","33","3230","graested","15.156","144","2.327","725","5","1 dag","1933"
"4.195.000 kr.","biskorupvej","67","5240","odense","15.552","147","2.357","909","6","1 dag","1977"
"3.095.000 kr.",NA,NA,NA,NA,"38.620","163","5.356","2.107","4","1 dag","2019"
"895.000 kr.","aalesundvej","6","9800","hjoerring","17.907","163","2.749","2.192","5","1 dag","1973"
"4.045.000 kr.","smidstrupvej","11","4330","hvalsoe","13.784","160","2.668","729","5","1 dag","1962"
"995.000 kr.","kirkegaardsvej","7","4800","nykoebing","12.997","78","1.477","303","4","1 dag","1895"
"5.195.000 kr.","roerdrumvej","2","5600","faaborg","9.552","106","2.169","888","4","1 dag","1969"
"1.295.000 kr.","stubagervej","19","8220","brabrand","29.208","147","3.375","700","4","1 dag","1974"
"1.595.000 kr.","noerreager","17","6280","hoejer","8.144","124","1.740","848","4","1 dag","1981"
"4.295.000 kr.","ribevej","112","6630","roedding","1.518","326","3.074","13.434","4","1 dag","1948"
"2.975.000 kr.","merianvej","12","8240","risskov","50.408","189","4.255","901","6","1 dag","2013"
"1.795.000 kr.","hoerkaers-ager","42","8300","odder","23.690","159","3.824","1.132","5","1 dag","2007"
"5.495.000 kr.","christiansvej","29","2920","charlottenlund","78.269","192","7.728","831","6","1 dag","1969"
"995.000 kr.","vestergade","58","4970","roedby","4.256","108","1.324","839","4","1 dag","1953"
"598.000 kr.","jeppe-aakjaers-vej","41","7500","holstebro","29.715","210","3.173","880","5","1 dag","2017"
"1.295.000 kr.","granvej","22","3200","helsinge","27.325","204","4.655","1.735","6","1 dag","1963"
